a,b,c,d,pos,vel,acc
0.1,0.1,599484250.3189421,129154.96650148854,"(3392.7921150253483, 0.0, 1097.9124469201768)","(40020.1746060793, 0.0, 9542.242691072579)","(267554.49237335165, 0.0, 35130.47055280122)"
0.1,0.1,599484250.3189421,2154434.6900318866,"(3395.758944842507, 0.0, 1099.1473608730412)","(40166.87626118944, 0.0, 9588.728893715823)","(269170.3412239875, 0.0, 35550.49802913275)"
0.1,0.1,599484250.3189421,35938136.638046406,"(3408.4145417376044, 0.0, 1104.3506310020796)","(40802.14596973846, 0.0, 9789.708827026192)","(276224.38591907854, 0.0, 37376.1386970102)"
0.1,0.1,599484250.3189421,599484250.3189421,"(3456.546261176086, 0.0, 1123.921750399186)","(43364.85727042273, 0.0, 10588.38354764545)","(305609.6214270257, 0.0, 44791.08456420761)"
0.1,0.1,599484250.3189421,10000000000.0,"(3606.2714367712197, 0.0, 1184.527266229587)","(52999.273918851264, 0.0, 13508.91124183977)","(428347.119254792, 0.0, 73882.96907554254)"
0.1,0.1,10000000000.0,0.1,"(3893.2550122500197, 0.0, 1286.2865817353365)","(83488.10274033104, 0.0, 19706.492099094263)","(898112.3391774297, 0.0, 112299.85629078615)"
0.1,0.1,10000000000.0,1.6681005372000592,"(3893.2550124269524, 0.0, 1286.2865818151665)","(83488.10276206158, 0.0, 19706.49210588805)","(898112.3395807659, 0.0, 112299.85639154728)"
0.1,0.1,10000000000.0,27.825594022071257,"(3893.2550153783586, 0.0, 1286.2865831468043)","(83488.10312454801, 0.0, 19706.492219215037)","(898112.346308808, 0.0, 112299.85807234138)"
0.1,0.1,10000000000.0,464.1588833612782,"(3893.2550646094123, 0.0, 1286.2866053592347)","(83488.10917101966, 0.0, 19706.49410957089)","(898112.4585362236, 0.0, 112299.88610890307)"
0.1,0.1,10000000000.0,7742.636826811277,"(3893.2558854553545, 0.0, 1286.2869757110357)","(83488.20998592324, 0.0, 19706.525628083236)","(898114.3297426256, 0.0, 112300.3535717904)"
0.1,0.1,10000000000.0,129154.96650148854,"(3893.2694742146314, 0.0, 1286.2931057660933)","(83489.87894684568, 0.0, 19707.047396424947)","(898145.3070298121, 0.0, 112308.09218479219)"
0.1,0.1,10000000000.0,2154434.6900318866,"(3893.4720787349506, 0.0, 1286.3843079518417)","(83514.76599079894, 0.0, 19714.82567714967)","(898607.2413681945, 0.0, 112423.47131048227)"
0.1,0.1,10000000000.0,35938136.638046406,"(3895.0771410028915, 0.0, 1287.1021337358193)","(83712.30507218644, 0.0, 19776.51697339017)","(902276.426818097, 0.0, 113339.35615958452)"
0.1,0.1,10000000000.0,599484250.3189421,"(3901.955332378919, 0.0, 1290.182258901142)","(84568.69856592728, 0.0, 20043.68599284602)","(918261.8110461688, 0.0, 117317.73351805523)"
0.1,0.1,10000000000.0,10000000000.0,"(3928.6468840032917, 0.0, 1302.041687599393)","(88051.23866136516, 0.0, 21122.561169838937)","(984570.0511025834, 0.0, 133569.3948327021)"
